State,County,Year,Month,tmax,tmin,prcp_monttl
California,Madera,1981,7,11.16,,
California,Madera,1981,8,,,13.29
California,Madera,1981,10,,,11.64
California,Madera,1981,1,,,11.3
California,Madera,1981,6,,,4.42
California,Marin,1981,2,,6.99,
California,Marin,1981,11,33.39,,
California,Marin,1981,6,44.0,,
California,Marin,1981,9,31.35,,
California,Marin,1981,10,,16.36,
California,Marin,1981,7,,,6.76
California,Marin,1981,12,21.27,,
California,Marin,1981,4,,,5.99
California,Marin,1981,5,40.4,,
California,Marin,1981,3,,,13.27
California,Marin,1981,1,,23.42,
California,Marin,1981,8,,,1.2
California,Mariposa,1981,3,17.4,,
California,Mariposa,1981,11,33.37,,
California,Mariposa,1981,2,,,11.38
California,Mariposa,1981,4,33.7,,
California,Mariposa,1981,9,,13.12,
California,Mariposa,1981,8,,21.15,
California,Mariposa,1981,5,,14.31,
California,Mariposa,1981,6,11.1,,
California,Mariposa,1981,12,15.88,,
California,Mariposa,1981,10,,4.53,
California,Mariposa,1981,7,,-1.17,
California,Mariposa,1981,1,13.22,,
California,Mendocino,1981,2,,,16.28
California,Mendocino,1981,11,28.64,,
California,Mendocino,1981,5,,10.03,
California,Mendocino,1981,10,,,17.22
California,Mendocino,1981,7,39.8,,
California,Mendocino,1981,4,15.81,,
California,Mendocino,1981,1,,2.42,
California,Mendocino,1981,3,19.12,,
California,Mendocino,1981,6,22.38,,
California,Mendocino,1981,12,,,9.42
California,Mendocino,1981,9,19.29,,
California,Mendocino,1981,8,42.75,,
California,Merced,1981,12,,21.69,
California,Merced,1981,1,,-0.5,
California,Merced,1981,6,19.58,,
California,Merced,1981,5,,,5.49
California,Merced,1981,7,,3.1,
California,Merced,1981,4,15.09,,
California,Merced,1981,10,27.37,,
California,Merced,1981,9,11.87,,
California,Merced,1981,2,37.82,,
California,Merced,1981,11,12.57,,
California,Merced,1981,8,,,15.84
California,Merced,1981,3,,22.71,
California,Modoc,1981,12,,,18.03
California,Modoc,1981,1,,,16.92
California,Modoc,1981,11,13.66,,
California,Modoc,1981,4,16.46,,
California,Modoc,1981,6,12.16,,
California,Modoc,1981,10,10.47,,
California,Modoc,1981,9,35.56,,
California,Modoc,1981,8,,,6.52
California,Modoc,1981,2,,9.24,
California,Modoc,1981,5,,,9.65
California,Modoc,1981,3,,,13.58
California,Modoc,1981,7,,1.27,
California,Mono,1981,8,,16.21,
California,Mono,1981,7,,-3.28,
California,Mono,1981,5,,10.4,
California,Mono,1981,4,33.33,,
California,Mono,1981,11,15.31,,
California,Mono,1981,3,,,3.43
California,Mono,1981,10,43.92,,
California,Mono,1981,12,,15.78,
California,Mono,1981,2,44.61,,
California,Mono,1981,9,,,6.55
California,Mono,1981,6,37.8,,
California,Mono,1981,1,,,16.37
California,Monterey,1981,11,,,4.85
California,Monterey,1981,5,23.0,,
California,Monterey,1981,9,23.21,,
California,Monterey,1981,7,,17.38,
California,Monterey,1981,2,,-4.84,
California,Monterey,1981,8,27.56,,
California,Monterey,1981,1,,8.4,
California,Monterey,1981,10,28.33,,
California,Monterey,1981,6,30.82,,
California,Monterey,1981,3,,3.42,
California,Monterey,1981,4,,,19.63
California,Monterey,1981,12,,13.78,
California,Napa,1981,10,26.97,,
California,Napa,1981,8,18.79,,
California,Napa,1981,7,,22.64,
California,Napa,1981,11,,-2.17,
California,Napa,1981,9,,,6.33
California,Napa,1981,1,,23.9,
California,Napa,1981,2,,,10.46
California,Napa,1981,4,,,4.87
California,Napa,1981,3,,14.44,
California,Napa,1981,5,22.92,,
California,Napa,1981,6,,,19.92
California,Napa,1981,12,43.83,,
California,Nevada,1981,2,,,5.85
California,Nevada,1981,10,,19.43,
California,Nevada,1981,7,18.8,,
California,Nevada,1981,11,25.57,,
California,Nevada,1981,6,,-0.98,
California,Nevada,1981,5,30.16,,
California,Nevada,1981,4,,18.79,
California,Nevada,1981,1,20.19,,
California,Nevada,1981,8,,14.55,
California,Nevada,1981,3,37.8,,
California,Nevada,1981,12,13.52,,
California,Nevada,1981,9,,14.0,
California,Orange,1981,1,,11.14,
California,Orange,1981,8,,,4.12
California,Orange,1981,5,,,4.95
California,Orange,1981,4,41.32,,
California,Orange,1981,9,,3.47,
California,Orange,1981,2,,10.01,
California,Orange,1981,6,12.98,,
California,Orange,1981,12,,20.94,
California,Orange,1981,3,,,8.61
California,Orange,1981,10,,0.97,
California,Orange,1981,11,,,16.62
California,Orange,1981,7,,,18.47
California,Placer,1981,10,,,10.99
California,Placer,1981,7,,6.38,
California,Placer,1981,4,10.49,,
California,Placer,1981,9,29.27,,
California,Placer,1981,6,,-4.79,
California,Placer,1981,5,,18.06,
California,Placer,1981,1,,23.88,
California,Placer,1981,3,,,0.12
California,Placer,1981,8,31.85,,
California,Placer,1981,12,32.22,,
California,Placer,1981,11,,9.89,
California,Placer,1981,2,,14.25,
California,Plumas,1981,3,20.98,,
California,Plumas,1981,10,28.67,,
California,Plumas,1981,11,26.28,,
California,Plumas,1981,6,16.25,,
California,Plumas,1981,5,,15.98,
California,Plumas,1981,7,37.51,,
California,Plumas,1981,12,36.75,,
California,Plumas,1981,1,14.25,,
California,Plumas,1981,2,,7.11,
California,Plumas,1981,8,20.5,,
California,Plumas,1981,4,,14.58,
California,Plumas,1981,9,18.34,,
California,Riverside,1981,7,,11.22,
California,Riverside,1981,10,,,17.4
California,Riverside,1981,8,12.81,,
California,Riverside,1981,3,44.75,,
California,Riverside,1981,6,,,5.7
California,Riverside,1981,11,,,6.19
California,Riverside,1981,12,,,18.5
California,Riverside,1981,2,,21.91,
California,Riverside,1981,4,,,4.04
California,Riverside,1981,9,,13.58,
California,Riverside,1981,1,42.65,,
California,Riverside,1981,5,,,10.78
California,Sacramento,1981,10,,,9.11
California,Sacramento,1981,1,,13.07,
California,Sacramento,1981,11,22.96,,
California,Sacramento,1981,4,,,10.29
California,Sacramento,1981,9,,,18.33
California,Sacramento,1981,5,,15.9,
California,Sacramento,1981,6,44.8,,
California,Sacramento,1981,2,,,13.89
California,Sacramento,1981,7,,4.81,
California,Sacramento,1981,12,,,1.76
California,Sacramento,1981,3,,,14.98
California,Sacramento,1981,8,10.86,,
California,San Benito,1981,1,19.72,,
California,San Benito,1981,2,17.42,,
California,San Benito,1981,8,,2.79,
California,San Benito,1981,9,44.57,,
California,San Benito,1981,12,,,3.04
California,San Benito,1981,6,,8.11,
California,San Benito,1981,4,,10.74,
California,San Benito,1981,10,,,17.22
California,San Benito,1981,7,,-4.88,
California,San Benito,1981,3,,,9.73
California,San Benito,1981,5,,22.42,
California,San Benito,1981,11,,-0.19,
California,San Bernardino,1981,2,,10.65,
California,San Bernardino,1981,8,18.24,,
California,San Bernardino,1981,7,37.79,,
California,San Bernardino,1981,12,,,16.9
California,San Bernardino,1981,3,,16.23,
California,San Bernardino,1981,4,,,8.8
California,San Bernardino,1981,11,22.19,,
California,San Bernardino,1981,1,,24.37,
California,San Bernardino,1981,10,,15.23,
California,San Bernardino,1981,9,,21.35,
California,San Bernardino,1981,5,,,14.23
California,San Bernardino,1981,6,,,13.14
California,San Diego,1981,2,35.33,,
California,San Diego,1981,3,,16.54,
California,San Diego,1981,4,,21.55,
California,San Diego,1981,7,,5.75,
California,San Diego,1981,6,37.67,,
California,San Diego,1981,8,,,14.26
California,San Diego,1981,10,11.96,,
California,San Diego,1981,9,,21.72,
California,San Diego,1981,12,,,9.66
California,San Diego,1981,1,31.96,,
California,San Diego,1981,5,,22.1,
California,San Diego,1981,11,,,1.2
California,San Francisco,1981,10,27.0,,
California,San Francisco,1981,3,,9.33,
California,San Francisco,1981,8,,-0.87,
California,San Francisco,1981,7,,,0.14
California,San Francisco,1981,12,,14.53,
California,San Francisco,1981,4,,,15.98
California,San Francisco,1981,5,,,17.16
California,San Francisco,1981,9,,7.82,
California,San Francisco,1981,11,,18.62,
California,San Francisco,1981,6,,,6.31
California,San Francisco,1981,1,,11.61,
California,San Francisco,1981,2,,8.8,
California,San Joaquin,1981,11,23.39,,
California,San Joaquin,1981,8,,,9.7
California,San Joaquin,1981,10,40.56,,
California,San Joaquin,1981,6,,,2.27
California,San Joaquin,1981,4,,,17.99
California,San Joaquin,1981,7,,,1.54
California,San Joaquin,1981,9,,16.98,
California,San Joaquin,1981,12,23.93,,
California,San Joaquin,1981,2,30.33,,
California,San Joaquin,1981,3,,,0.16
California,San Joaquin,1981,5,14.62,,
California,San Joaquin,1981,1,,4.26,
California,San Luis Obispo,1981,11,30.68,,
California,San Luis Obispo,1981,1,,,12.73
California,San Luis Obispo,1981,12,,4.09,
California,San Luis Obispo,1981,10,,,9.46
California,San Luis Obispo,1981,2,,,15.52
California,San Luis Obispo,1981,7,,,7.2
California,San Luis Obispo,1981,8,36.32,,
California,San Luis Obispo,1981,6,,4.8,
California,San Luis Obispo,1981,4,33.91,,
California,San Luis Obispo,1981,3,,,13.05
California,San Luis Obispo,1981,9,13.67,,
California,San Luis Obispo,1981,5,,,4.05
California,San Mateo,1981,2,,,0.86
California,San Mateo,1981,7,20.12,,
California,San Mateo,1981,5,23.12,,
California,San Mateo,1981,10,,20.33,
California,San Mateo,1981,6,18.96,,
California,San Mateo,1981,4,,3.98,
California,San Mateo,1981,8,,11.27,
California,San Mateo,1981,3,42.78,,
California,San Mateo,1981,1,,,5.75
California,San Mateo,1981,9,44.59,,
California,San Mateo,1981,12,,19.03,
California,San Mateo,1981,11,,20.77,
California,Santa Barbara,1981,4,,12.83,
California,Santa Barbara,1981,6,,12.07,
California,Santa Barbara,1981,2,,,13.81
California,Santa Barbara,1981,3,,16.45,
California,Santa Barbara,1981,10,,,13.94
California,Santa Barbara,1981,5,,24.78,
California,Santa Barbara,1981,12,,,9.01
California,Santa Barbara,1981,11,13.04,,
California,Santa Barbara,1981,9,,,18.46
California,Santa Barbara,1981,1,,,3.98
California,Santa Barbara,1981,8,,,19.57
California,Santa Barbara,1981,7,,,2.0
California,Santa Clara,1981,9,18.81,,
California,Santa Clara,1981,6,,,9.1
California,Santa Clara,1981,11,,12.11,
California,Santa Clara,1981,3,30.22,,
California,Santa Clara,1981,10,,,8.02
California,Santa Clara,1981,12,,24.44,
California,Santa Clara,1981,2,23.75,,
California,Santa Clara,1981,8,31.36,,
California,Santa Clara,1981,4,,,0.64
California,Santa Clara,1981,1,40.55,,
California,Santa Clara,1981,7,34.17,,
California,Santa Clara,1981,5,,,18.13
California,Santa Cruz,1981,6,27.99,,
California,Santa Cruz,1981,11,12.67,,
California,Santa Cruz,1981,7,,,12.9
California,Santa Cruz,1981,2,33.26,,
California,Santa Cruz,1981,4,19.01,,
California,Santa Cruz,1981,9,30.99,,
California,Santa Cruz,1981,3,18.16,,
California,Santa Cruz,1981,5,26.63,,
California,Santa Cruz,1981,10,,6.47,
California,Santa Cruz,1981,1,,3.5,
California,Santa Cruz,1981,12,,20.75,
California,Santa Cruz,1981,8,28.05,,
California,Shasta,1981,9,,14.58,
California,Shasta,1981,4,,-3.57,
California,Shasta,1981,1,,,9.77
California,Shasta,1981,7,,,14.38
California,Shasta,1981,6,14.7,,
California,Shasta,1981,10,,3.15,
California,Shasta,1981,3,42.66,,
California,Shasta,1981,5,,7.18,
California,Shasta,1981,12,33.07,,
California,Shasta,1981,2,,0.14,
California,Shasta,1981,11,,-4.02,
California,Shasta,1981,8,,16.07,
California,Sierra,1981,8,39.97,,
California,Sierra,1981,7,37.87,,
California,Sierra,1981,5,,21.53,
California,Sierra,1981,10,,-1.17,
California,Sierra,1981,9,31.56,,
California,Sierra,1981,1,,-4.08,
California,Sierra,1981,11,,20.88,
California,Sierra,1981,6,,6.03,
California,Sierra,1981,2,24.92,,
California,Sierra,1981,12,,,8.15
California,Sierra,1981,4,,,2.37
California,Sierra,1981,3,21.65,,
California,Siskiyou,1981,12,,,19.52
California,Siskiyou,1981,6,36.64,,
California,Siskiyou,1981,9,,16.49,
California,Siskiyou,1981,1,,,12.99
California,Siskiyou,1981,11,,7.3,
California,Siskiyou,1981,3,,,1.52
California,Siskiyou,1981,5,,,1.81
California,Siskiyou,1981,10,10.62,,
California,Siskiyou,1981,7,19.73,,
California,Siskiyou,1981,8,13.58,,
California,Siskiyou,1981,2,,1.11,
California,Siskiyou,1981,4,,21.45,
California,Solano,1981,5,18.15,,
California,Solano,1981,12,,3.74,
California,Solano,1981,6,,0.03,
California,Solano,1981,2,,20.07,
California,Solano,1981,9,,21.03,
California,Solano,1981,3,26.8,,
California,Solano,1981,7,34.33,,
California,Solano,1981,8,17.0,,
California,Solano,1981,10,,1.41,
California,Solano,1981,11,,19.45,
California,Solano,1981,1,35.93,,
California,Solano,1981,4,34.44,,
California,Sonoma,1981,11,,2.57,
California,Sonoma,1981,10,,24.8,
California,Sonoma,1981,7,,13.71,
California,Sonoma,1981,2,13.96,,
California,Sonoma,1981,4,,-2.7,
California,Sonoma,1981,6,,5.55,
California,Sonoma,1981,5,30.72,,
California,Sonoma,1981,9,12.11,,
California,Sonoma,1981,3,42.46,,
California,Sonoma,1981,12,,10.22,
California,Sonoma,1981,8,22.7,,
California,Sonoma,1981,1,34.77,,
California,Stanislaus,1981,2,28.56,,
California,Stanislaus,1981,5,,-0.09,
California,Stanislaus,1981,6,,2.75,
California,Stanislaus,1981,3,,10.49,
California,Stanislaus,1981,4,35.09,,
California,Stanislaus,1981,10,,,3.58
California,Stanislaus,1981,7,,,2.47
California,Stanislaus,1981,9,40.29,,
California,Stanislaus,1981,1,41.91,,
California,Stanislaus,1981,11,,,7.23
California,Stanislaus,1981,12,,-2.7,
California,Stanislaus,1981,8,,,6.39
California,Sutter,1981,5,,9.99,
California,Sutter,1981,7,,19.64,
California,Sutter,1981,2,,,2.51
California,Sutter,1981,6,18.85,,
California,Sutter,1981,10,,-3.71,
California,Sutter,1981,12,,17.34,
California,Sutter,1981,1,,-1.15,
California,Sutter,1981,8,,,7.87
California,Sutter,1981,11,,13.25,
California,Sutter,1981,9,,19.96,
California,Sutter,1981,3,34.15,,
California,Sutter,1981,4,,14.28,
California,Tehama,1981,9,34.18,,
California,Tehama,1981,4,37.67,,
California,Tehama,1981,11,,12.35,
California,Tehama,1981,2,,,1.81
California,Tehama,1981,5,,12.76,
California,Tehama,1981,10,,12.59,
California,Tehama,1981,6,19.86,,
California,Tehama,1981,12,,3.53,
California,Tehama,1981,3,,,15.67
California,Tehama,1981,7,,,12.38
California,Tehama,1981,8,,9.31,
California,Tehama,1981,1,30.81,,
California,Trinity,1981,4,39.85,,
California,Trinity,1981,9,,,2.96
California,Trinity,1981,2,,,3.29
California,Trinity,1981,10,,-0.27,
California,Trinity,1981,11,,,16.23
California,Trinity,1981,12,,-0.05,
California,Trinity,1981,5,10.89,,
California,Trinity,1981,7,22.37,,
California,Trinity,1981,8,,1.17,
California,Trinity,1981,3,,15.82,
California,Trinity,1981,6,12.38,,
California,Trinity,1981,1,,,7.15
California,Tulare,1981,9,13.61,,
California,Tulare,1981,11,36.17,,
California,Tulare,1981,10,,18.84,
California,Tulare,1981,12,,,4.07
California,Tulare,1981,1,19.79,,
California,Tulare,1981,6,40.28,,
California,Tulare,1981,5,,,6.74
California,Tulare,1981,3,,,7.6
California,Tulare,1981,2,25.91,,
California,Tulare,1981,4,40.56,,
California,Tulare,1981,8,,11.6,
California,Tulare,1981,7,,10.93,
California,Tuolumne,1981,11,,,19.51
California,Tuolumne,1981,9,,,6.98
California,Tuolumne,1981,6,,0.61,
California,Tuolumne,1981,1,,,17.97
California,Tuolumne,1981,7,30.39,,
California,Tuolumne,1981,8,19.63,,
California,Tuolumne,1981,4,,,14.43
California,Tuolumne,1981,2,40.74,,
California,Tuolumne,1981,12,,-3.82,
California,Tuolumne,1981,3,,-2.72,
California,Tuolumne,1981,10,16.73,,
California,Tuolumne,1981,5,12.37,,
California,Ventura,1981,9,,,6.12
California,Ventura,1981,10,,15.38,
California,Ventura,1981,12,,7.02,
California,Ventura,1981,8,10.92,,
California,Ventura,1981,1,,,18.53
California,Ventura,1981,2,15.08,,
California,Ventura,1981,11,,,3.66
California,Ventura,1981,4,,,15.69
California,Ventura,1981,5,22.47,,
California,Ventura,1981,3,,6.38,
California,Ventura,1981,7,,,6.9
California,Ventura,1981,6,18.12,,
California,Yolo,1981,4,,,5.69
California,Yolo,1981,3,20.33,,
California,Yolo,1981,2,,-0.43,
California,Yolo,1981,1,,17.53,
California,Yolo,1981,8,,,13.01
California,Yolo,1981,12,,,14.64
California,Yolo,1981,6,,4.68,
California,Yolo,1981,9,,,11.77
California,Yolo,1981,11,,,13.91
California,Yolo,1981,10,39.25,,
California,Yolo,1981,7,,11.39,
California,Yolo,1981,5,,,12.27
California,Yuba,1981,10,,,4.05
California,Yuba,1981,7,,5.84,
California,Yuba,1981,5,,,14.9
California,Yuba,1981,6,,,4.05
California,Yuba,1981,3,,-4.81,
California,Yuba,1981,12,25.98,,
California,Yuba,1981,9,,,10.41
California,Yuba,1981,2,17.3,,
California,Yuba,1981,1,21.0,,
California,Yuba,1981,4,,19.73,
California,Yuba,1981,11,,,17.28
California,Yuba,1981,8,,21.79,
California,Alameda,1982,6,,22.36,
California,Alameda,1982,9,,16.02,
California,Alameda,1982,5,27.92,,
California,Alameda,1982,8,24.12,,
California,Alameda,1982,3,,5.93,
California,Alameda,1982,1,,-3.21,
California,Alameda,1982,7,,,3.79
California,Alameda,1982,10,,,17.79
California,Alameda,1982,12,17.06,,
California,Alameda,1982,11,,-4.3,
California,Alameda,1982,2,,,3.65
California,Alameda,1982,4,,13.97,
California,Alpine,1982,10,,6.74,
California,Alpine,1982,9,24.36,,
California,Alpine,1982,8,14.33,,
California,Alpine,1982,3,,0.71,
California,Alpine,1982,7,,22.06,
California,Alpine,1982,11,,,3.67
California,Alpine,1982,5,,2.73,
California,Alpine,1982,2,,15.92,
California,Alpine,1982,12,11.86,,
California,Alpine,1982,6,,,16.12
California,Alpine,1982,4,18.8,,
California,Alpine,1982,1,,,3.87
California,Amador,1982,9,,11.06,
California,Amador,1982,12,29.77,,
California,Amador,1982,10,15.23,,
California,Amador,1982,7,,,9.77
California,Amador,1982,6,,13.0,
California,Amador,1982,4,,,3.6
California,Amador,1982,5,42.39,,
California,Amador,1982,1,,,8.26
California,Amador,1982,3,,15.89,
California,Amador,1982,11,,23.28,
California,Amador,1982,2,,,15.71
California,Amador,1982,8,,,16.45
California,Butte,1982,4,30.42,,
California,Butte,1982,5,,6.43,
California,Butte,1982,2,,23.36,
California,Butte,1982,8,,0.74,
California,Butte,1982,12,,14.51,
California,Butte,1982,3,,,8.09
California,Butte,1982,6,38.7,,
California,Butte,1982,1,,3.0,
California,Butte,1982,11,,23.84,
California,Butte,1982,7,41.04,,
California,Butte,1982,9,,,3.28
California,Butte,1982,10,,,2.72
California,Calaveras,1982,3,,,6.74
California,Calaveras,1982,4,,17.11,
California,Calaveras,1982,11,35.8,,
California,Calaveras,1982,2,,,16.07
California,Calaveras,1982,1,27.87,,
California,Calaveras,1982,5,10.36,,
California,Calaveras,1982,10,,,16.96
California,Calaveras,1982,7,29.84,,
California,Calaveras,1982,8,,4.92,
California,Calaveras,1982,12,,,0.61
California,Calaveras,1982,6,,,10.65
California,Calaveras,1982,9,24.79,,
California,Colusa,1982,10,,13.1,
